id ht circ
1 18.25 36
2 19.75 42
3 16.5 33
4 18.25 39
5 19.5 43
6 16.25 34
7 17.25 37
8 19 41
10 16.25 27
11 17.5 30
12 15.5 26
13 19.75 35
14 22 39
15 18.25 31
16 18.25 27
17 20.5 35
18 16 27
19 18 35
20 20.25 40
21 19.75 41
22 19 38
23 19.75 38
24 17.5 39
25 21 42
26 21.75 46
28 23 56
30 22.25 53
31 23 54
32 23 53
33 19 38
34 23.25 53
35 24 59
36 22 50
37 19 38
38 19.75 44
39 22.25 43
40 21.75 47
41 23.25 54
42 24.25 56
43 23.25 56
44 24.25 57
45 24.5 58
47 23 52
48 22.5 52
49 21.25 47
50 19.75 44
51 22.5 49
52 18.75 37
53 12.5 32
54 18 35
55 23.5 56
56 24 58
58 23.75 52
61 23.75 54
63 23.25 58
64 21.25 43
65 23.25 51
66 20.5 40
67 23.25 52
68 22.25 46
69 23.75 54
71 24.75 56
72 24.25 55
82 21.25 46
83 20.75 47
84 19.75 43
85 22.25 52
86 20.25 40
87 18.75 36
88 21.25 47
89 22 51
90 19.75 39
91 16.25 34
92 21 48
93 18.75 41
94 21.75 48
95 19.25 37
96 19.75 43
97 21.25 45
98 22 50
99 21.75 52
100 20.25 45
101 23.25 53
103 18.25 35
104 22.75 46
105 20.75 41
106 18.5 35
107 21.75 43
108 19.75 36
109 23.75 56
110 23.25 52
111 22.5 49
113 22.25 46
114 22.25 47
115 23.5 57
116 24.25 61
117 21.25 46
118 22.5 54
120 23 57
121 21.75 49
123 21.25 44
127 22 44
128 15.75 31
129 21.5 42
130 21.75 41
131 21.25 41
132 23 49
133 20.75 38
134 21 39
135 22.25 43
136 22.25 54
137 22.75 53
138 23.25 56
139 21.25 46
140 21.75 44
141 22.75 55
142 22.25 50
143 19 36
144 19.25 35
145 23.75 56
146 22.5 46
147 23.25 52
148 22.75 48
149 23.25 51
150 23.25 47
151 22.75 50
152 15.25 28
153 23 49
154 22.75 49
155 22.75 46
156 23.25 47
157 23 47
158 23.25 50
159 23.75 48
161 23 50
162 24.75 58
164 25.25 60
167 23.75 55
168 16.75 32
169 22.75 52
170 24.25 54
171 15.25 29
172 23.25 55
173 23.25 59
174 24.5 60
175 23.25 49
176 20.75 39
177 25.25 65
178 22.25 49
182 23.75 62
183 23.75 54
184 24.25 63
185 23.75 54
186 23.75 54
187 22.25 58
188 24.75 60
189 25.25 59
190 24.25 62
191 24.75 57
192 24.75 59
193 22.25 57
194 22.25 47
195 25 62
196 22.5 59
197 24 58
198 25.25 65
199 24.25 62
200 24.75 58
201 25.75 65
202 23.75 58
203 22.5 45
204 23.5 54
205 20.75 47
206 23.75 54
207 23.25 54
208 22 47
210 23.25 60
211 25.75 64
214 25 64
216 26 66
217 26 60
218 23 43
219 20.25 36
220 23.75 49
221 23 42
222 24.25 55
223 24.75 54
224 24.75 52
225 24.25 48
226 22.5 54
227 23.25 59
228 21.75 55
229 22.25 55
230 21.25 48
231 23.25 59
232 21.75 53
233 23.5 59
234 22.5 56
235 22.25 51
236 22.75 49
237 22.25 51
238 22.25 46
239 22.75 45
240 21.25 41
241 22.75 51
242 22.25 46
243 22.75 48
244 18.75 38
245 23.25 55
246 23.5 56
247 22.25 52
248 22.75 49
249 23.75 55
250 21.75 49
251 23 52
252 23.25 53
262 22.25 55
263 21.75 52
264 21.75 53
265 22.25 52
266 21.5 46
267 22 55
269 22.25 54
270 22.25 50
271 23 50
272 24.75 62
273 23 51
274 23.5 51
275 23.75 53
276 25.25 57
277 24 55
278 24.25 54
279 24.75 58
280 23 58
281 23.75 57
282 22 53
283 22 53
284 22.25 48
285 22.25 47
286 23.25 56
287 23.25 56
288 19.25 37
298 23.25 46
299 23.25 49
300 23.25 53
302 23.75 49
303 21.75 41
304 20.75 35
305 23.25 50
306 23 46
307 19.5 42
311 23 59
312 19 32
313 22 59
314 21.75 50
316 22.25 56
317 23.25 59
318 22.75 50
319 23.25 56
320 21.5 48
321 22.5 51
322 23.25 60
323 22.25 55
324 21.25 43
326 25.5 55
329 24.25 55
331 24.75 59
332 23.75 51
333 23.25 49
335 23.25 57
339 18.25 39
340 23.25 55
341 23.25 53
342 17.75 35
346 17.75 41
347 20.25 50
348 20.75 53
349 18.5 46
350 20 52
351 20.25 46
352 23.25 49
353 20.75 42
354 20.75 42
355 20.5 42
358 19.25 39
359 14.75 31
360 20.75 45
361 19.75 42
362 20 41
363 19.75 41
364 19.75 42
365 19.75 43
367 18.5 36
368 19.5 42
370 18.75 36
373 19.75 39
374 21.25 47
375 21 46
376 18.5 35
377 20.75 43
379 20 42
380 19.25 39
381 19.5 43
382 14.5 29
384 20 47
385 21.5 46
386 22.25 50
387 16 32
388 21.25 52
389 22.25 58
390 22.5 54
391 21.5 51
392 22.75 54
393 21.25 53
394 20.5 49
395 22.25 55
396 21.25 57
397 11.25 26
398 20.5 53
399 19.25 47
400 17.75 42
401 19.5 45
403 13.75 31
404 16.75 39
406 14 27
407 16.5 33
408 19.5 40
410 14 26
413 15 28
415 16.75 34
416 19.75 44
417 20.75 45
418 21 55
419 20.5 45
420 19.75 41
421 15.25 33
422 18.5 39
423 20 44
424 21.5 53
425 22.75 58
426 23 59
427 22.25 55
428 21.75 50
429 22.25 53
430 22 55
431 22.5 54
432 21.75 53
435 19 37
438 21.75 52
441 20.75 47
442 22 46
443 20.25 41
444 19.75 40
445 22 48
446 20.25 45
447 19.25 40
448 22.25 47
449 21.25 45
450 19.75 39
451 22.5 55
452 22.75 56
453 21.75 51
454 20.75 44
455 23.75 52
456 20.25 39
457 22.75 60
459 21.75 49
460 19 46
461 21 57
462 19.75 49
464 21.25 56
467 22 56
468 16.25 35
469 17.5 35
470 18.25 37
471 18 35
472 22 50
473 20.75 44
474 21.25 45
475 21.25 45
476 21.5 40
477 20.75 38
478 16.75 35
479 19.25 43
480 15.75 32
483 17.25 35
486 17.25 36
505 18.25 36
506 20.75 47
507 16.75 34
509 17.5 34
510 15.25 28
511 20.75 44
512 19.75 43
513 17.25 36
514 21.25 44
515 21.5 44
516 20.75 42
517 18.75 36
518 19.25 36
519 20.75 44
521 20.75 48
522 20.75 45
523 23.5 55
524 23.25 48
525 18 35
526 16.5 35
527 24.75 55
528 17.75 32
529 23.75 47
530 24.25 51
531 17.25 31
532 17 34
533 19.5 40
534 18 37
535 15.75 29
536 19.25 41
537 19.75 43
542 18.5 42
543 19 43
544 20.25 43
545 22.75 54
546 21.75 46
548 20.75 48
549 20.75 44
550 21.5 48
551 22 48
552 21 41
553 16.25 38
554 22 52
555 21 47
557 21.5 51
558 21 45
559 18 41
560 20.5 47
561 21.25 53
562 20.5 49
563 17.25 33
564 19.25 43
567 18.75 38
568 20 42
569 21 43
570 19 41
571 19 37
572 21 49
576 20.25 45
577 20 43
579 21.75 58
580 19.5 42
581 20.5 49
582 19.75 48
583 20.75 49
584 20.75 53
585 19 45
586 20 51
587 19.75 53
588 18.75 45
589 19.25 41
590 20.5 44
591 19.25 44
592 19.25 43
593 19.75 50
594 19.75 43
595 19.25 40
596 20.5 42
597 18.25 35
598 17 33
599 21 46
600 20 41
601 17.75 38
602 15.75 33
603 18.75 37
605 23.25 48
606 23.25 49
607 19.75 34
608 23.75 54
609 24.75 53
611 23.5 52
612 15.25 30
613 20.25 44
615 22.75 56
617 23.25 59
618 20.25 41
619 20.5 47
620 21.75 53
622 21.25 45
623 23.25 57
624 19.75 45
626 23.25 55
628 19.5 43
629 22.75 52
630 15 31
631 23.75 59
632 23 60
633 21.75 50
635 23.25 57
636 22.75 54
640 24.25 60
641 24.75 61
642 22.75 52
644 24 55
645 21.75 47
646 23.75 59
647 25 62
648 24.25 61
649 23.25 58
650 22.25 51
651 23.5 56
654 26 68
655 25.25 63
656 24.75 61
667 21.75 56
668 21.75 49
669 21.75 49
670 21.75 54
671 21.5 47
672 22.25 55
673 19.5 39
674 21.25 47
675 22 49
676 17.25 40
678 19 49
679 18.25 46
680 14.25 31
681 19 51
682 15 33
683 15 33
685 17 38
686 18.5 46
687 16.5 37
689 17 40
690 16 35
693 13.5 30
694 20.5 36
695 21 41
696 17.75 30
697 18.25 36
698 18.5 36
699 16.5 31
701 21 42
702 16 26
703 20.75 41
704 18.75 37
705 19.25 38
706 16.75 36
707 19 40
708 20.75 44
709 18.25 35
710 20 42
712 23 58
713 23 58
714 24.5 64
715 20.75 50
716 23.5 56
717 16 39
718 24 64
719 21.75 47
720 23.5 63
721 24.25 60
724 23.25 58
725 22.75 58
726 16 33
728 22.75 54
729 24.25 60
730 20.75 42
731 22.25 49
732 16.75 32
733 21.75 44
734 15.25 29
735 20 41
736 16.75 30
737 17.75 33
738 12.75 27
739 20.5 41
740 19.25 40
741 23.5 56
742 20.75 45
743 22.25 54
744 22.5 55
745 21.75 48
746 20.75 48
747 22.25 52
748 23.75 53
750 22.75 50
751 23.25 53
752 22.75 49
753 22.25 51
754 22.25 51
755 22.75 50
756 21.75 52
757 23.25 63
758 21 52
759 21.75 54
760 15.5 32
761 22.5 58
762 22.75 57
763 19.25 44
764 22.5 55
765 19.5 47
767 21.25 43
769 19.75 41
770 21.75 50
771 20.25 42
773 20.75 44
774 18.25 41
775 21.5 48
776 22.75 55
777 21.75 50
778 18 39
779 21.25 46
780 18.75 40
781 21.25 47
782 15.75 35
783 19.5 46
785 19.25 39
786 18 34
787 18.5 39
788 22.75 49
789 21.75 41
790 22 50
791 21.5 48
792 22 48
793 20.25 43
794 20.75 42
795 21.25 48
796 19.5 38
797 22.25 47
798 21 48
799 22 47
800 20.5 42
801 20.75 46
802 20.5 47
803 21.5 52
804 21.25 43
805 19.75 46
806 21.75 50
807 21.75 51
808 18.5 43
809 21.25 46
810 21.25 45
811 23 44
812 22.75 49
813 22 44
814 22 42
815 20.5 38
816 22.75 47
818 22.75 50
820 23.75 56
821 13.75 28
822 23.25 56
823 22.75 48
824 22.25 58
825 22.25 48
826 20.75 39
827 19.75 41
828 22.25 54
829 20 41
830 22.5 52
831 22 50
832 17.75 36
833 22.75 49
834 23.25 49
835 22.25 55
836 23.75 54
837 23.75 49
838 22.5 50
839 17.75 35
840 24 56
841 18.5 38
842 23.25 55
843 23.5 52
844 21.5 46
845 23.5 55
846 23 50
848 22.75 54
849 24.75 64
850 23.25 55
851 23.75 55
853 23.75 57
854 24.5 60
855 18.5 34
856 21.5 57
857 21.25 49
858 23 55
859 21 50
860 23.75 62
861 23 57
862 21.25 47
863 20 52
864 22.25 51
865 22.25 51
866 23.25 51
867 22.75 49
868 22.25 50
869 23.75 54
870 22.25 44
871 23.5 53
872 24.75 61
873 21.75 46
874 22.5 52
875 21.5 55
876 23.25 57
877 21 46
878 23.5 55
879 22.25 53
880 22.75 56
881 22.5 52
882 22.75 58
886 20.75 51
888 19.25 41
889 21.75 48
890 23.5 56
891 22.25 52
892 12.75 27
893 25.25 61
894 25.25 65
895 21.25 48
896 23.25 58
897 23.75 56
898 20.75 51
900 24.25 59
901 22.75 50
902 24.75 54
903 22 44
904 24.75 57
905 24.25 51
906 24.75 52
907 21.75 44
908 23.75 53
909 21.25 40
910 21.25 49
912 24.25 57
913 22.25 52
914 23 55
915 22.5 50
916 19.75 45
918 23.25 59
919 21 42
920 23 48
922 20 41
923 23 49
924 22.5 42
925 20.25 39
926 20 38
927 22 45
928 22 53
929 22.5 56
930 22.25 49
931 22.25 51
932 20.25 39
933 21 47
934 22.75 52
935 19.75 36
936 21.75 47
937 23.25 55
938 21.5 42
939 24 57
940 23.75 60
941 18.75 36
942 22 49
943 24.5 61
945 24.5 56
946 21.5 53
947 19.5 39
948 22.5 57
949 20.25 46
950 21.25 53
951 21.75 56
952 21 53
953 22 54
954 20.5 46
955 18.25 35
956 23.75 50
957 23.25 53
959 23.75 53
960 24.25 55
963 23.75 51
964 23.25 57
965 24.5 63
966 23.25 54
967 22.25 49
968 22.75 51
969 22.75 50
970 23.25 55
971 24.25 64
972 23.75 55
973 24 64
974 23.5 61
975 24.75 65
976 24.25 61
978 19.5 43
979 24.5 63
980 20 45
981 24 63
982 24.25 55
983 23.75 53
984 21 42
985 23 48
986 16.25 29
987 23.25 51
989 22.5 46
990 23.75 49
991 21 47
992 22.5 53
993 23.75 55
994 21.5 52
995 22 50
996 22 48
997 21.75 53
998 22.25 57
999 23.75 59
1000 22.25 56
1001 23.75 58
1003 23.25 60
1004 20.25 44
1005 18.5 39
1006 21.25 52
1008 22.5 56
1009 23.75 60
1010 23 54
1011 23.75 60
1013 23.75 56
1016 24.75 58
1018 22.75 55
1019 22.5 54
1020 22.75 53
1021 22 49
1022 22.5 54
1023 23.25 56
1024 22 50
1025 21.5 49
1026 21.75 45
1028 21.5 61
1029 20 53
1030 20.25 56
1031 16 36
1032 19.5 50
1033 19.25 41
1034 19.5 47
1035 19.25 47
1036 21.25 43
1037 22.75 55
1038 21.75 39
1039 21.25 43
1040 23.25 52
1042 23 50
1043 23.75 46
1045 15.75 33
1046 19.75 44
1047 19.25 40
1048 20.5 47
1049 17 35
1050 21 46
1051 20 38
1052 20 45
1053 21.75 48
1054 21.5 49
1055 19.75 38
1056 21.25 48
1057 20.75 44
1058 21 44
1059 20.25 41
1060 21.5 43
1061 20.25 41
1062 19.5 39
1063 20 42
1064 19 37
1065 18.75 41
1066 20.75 43
1067 20.5 45
1068 20.75 50
1069 19.5 39
1070 19.75 47
1071 20.75 48
1072 20.5 45
1073 20.5 49
1074 20.25 46
1075 20.75 46
1076 20.25 44
1077 20.25 47
1078 20.5 45
1080 20.25 47
1081 20 42
1082 20.25 45
1083 20 44
1085 19.75 46
1087 20.5 45
1091 16.5 34
1093 16 31
1094 19.25 45
1095 12.75 27
1096 15 28
1097 19 44
1099 18.25 39
1100 20.25 51
1102 18.75 39
1103 19.5 44
1106 18.75 43
1108 23.5 53
1110 23 55
1111 20.5 40
1112 22.25 49
1113 22.25 51
1114 23.75 59
1115 21.25 42
1116 22.25 51
1117 21.75 50
1118 21.75 53
1119 21.25 48
1120 21.25 45
1121 20.25 44
1122 20 45
1123 21.25 46
1124 21 46
1125 19.75 45
1126 19.75 33
1127 21.5 44
1128 23.5 52
1129 22.75 48
1130 15.5 28
1131 22.25 49
1132 21.5 46
1133 19.25 40
1134 23 54
1137 22.25 53
1138 21.25 45
1139 18 33
1140 23.75 59
1141 22.75 53
1143 22.25 51
1150 20.25 45
1151 11.5 26
1153 21.5 44
1154 20.75 35
1155 21.75 44
1157 21.25 46
1158 21.75 43
1159 16 28
1160 21.5 45
1161 21.75 44
1162 16 33
1163 16.75 34
1164 16 32
1165 14.5 28
1166 20.25 49
1167 19.75 46
1168 14.75 30
1169 18 38
1170 20 47
1179 17.5 44
1180 20.75 49
1182 17.5 35
1184 19 45
1187 20 48
1189 18.5 40
1190 17.75 37
1191 16.25 34
1192 15.25 30
1193 18.25 37
1194 17 37
1196 19.75 48
1197 13.5 27
1198 20 36
1199 21 44
1201 21.5 47
1202 17 31
1203 13.5 26
1204 13.75 28
1205 20.75 49
1207 22.75 43
1208 24.25 50
1209 18.25 35
1210 19.25 33
1212 21.25 40
1213 23.75 51
1214 23.25 49
1215 21.5 43
1216 14.5 31
1217 19.75 46
1218 17.25 37
1219 16.25 37
1220 18.5 42
1221 17.25 41
1222 16.25 38
1223 17.75 38
1224 16 34
1225 18.75 38
1226 21 49
1227 19 40
1228 21 48
1229 21 48
1230 18 37
1231 18.5 40
1232 19.5 41
1233 18.25 39
1234 20.25 40
1235 20.5 42
1236 20.25 40
1237 21.25 43
1238 22.75 48
1239 21.5 42
1240 19.25 38
1241 21.25 41
1242 20.25 41
1243 14.5 33
1245 19.25 47
1247 19.5 50
1249 17 35
1250 19.5 51
1251 17.5 38
1252 21.5 47
1253 19.25 38
1254 20.75 47
1255 21.75 51
1256 20.5 39
1257 21.75 49
1258 21 43
1259 22.25 50
1260 19.75 37
1261 21.25 55
1262 20.75 52
1263 20 50
1264 19.25 41
1265 18.5 43
1266 20.5 50
1267 20 50
1268 19.5 43
1269 18.5 40
1270 19.5 47
1271 20.75 55
1272 19 48
1274 19.5 45
1275 19.5 45
1276 20.5 51
1277 21.25 57
1278 19.5 45
